id_venda,id_tempo,id_cliente,id_artigo,id_vendedor,quantidade,preco_unitario,desconto_perc,custo_unitario,total_bruto,total_desconto,total_liquido,custo_total,margem
80,218,4,22,6,4,584.58,5,398.82,2338.32,116.92,2221.4,1595.28,626.12
81,160,22,28,3,6,144.74,5,78.6,868.44,43.42,825.02,471.6,353.42
82,198,12,20,3,8,925.86,0,648.71,7406.88,0.0,7406.88,5189.68,2217.2
83,247,45,15,2,6,183.73,5,119.09,1102.38,55.12,1047.26,714.54,332.72
84,324,3,21,6,2,263.65,20,153.95,527.3,105.46,421.84,307.9,113.94
85,203,22,13,2,1,580.23,0,277.06,580.23,0.0,580.23,277.06,303.17
86,184,44,22,8,8,775.89,0,404.56,6207.12,0.0,6207.12,3236.48,2970.64
87,123,2,11,6,8,638.38,0,413.91,5107.04,0.0,5107.04,3311.28,1795.76
88,255,24,19,5,9,270.53,0,154.32,2434.77,0.0,2434.77,1388.88,1045.89
89,294,34,8,2,6,50.9,10,38.47,305.4,30.54,274.86,230.82,44.04
90,280,27,20,2,1,769.29,20,379.98,769.29,153.86,615.43,379.98,235.45
91,325,41,8,2,9,985.95,15,423.2,8873.55,1331.03,7542.52,3808.8,3733.72
92,98,1,10,7,3,819.42,5,520.94,2458.26,122.91,2335.35,1562.82,772.53
93,198,8,26,4,6,487.2,0,367.55,2923.2,0.0,2923.2,2205.3,717.9
94,240,23,16,2,9,908.58,15,495.99,8177.22,1226.58,6950.64,4463.91,2486.73
95,144,38,19,8,3,439.36,10,289.58,1318.08,131.81,1186.27,868.74,317.53
96,97,6,26,1,5,548.69,15,270.27,2743.45,411.52,2331.93,1351.35,980.58
97,201,22,23,1,5,503.27,0,313.73,2516.35,0.0,2516.35,1568.65,947.7
98,124,25,11,6,7,475.24,20,339.66,3326.68,665.34,2661.34,2377.62,283.72
99,187,18,13,5,4,786.43,15,587.32,3145.72,471.86,2673.86,2349.28,324.58
100,326,17,28,4,4,550.43,0,243.32,2201.72,0.0,2201.72,973.28,1228.44
101,349,12,9,7,7,350.88,0,190.37,2456.16,0.0,2456.16,1332.59,1123.57
102,259,6,20,6,9,295.25,5,193.64,2657.25,132.86,2524.39,1742.76,781.63
103,148,26,24,1,4,85.86,5,35.54,343.44,17.17,326.27,142.16,184.11
104,252,27,19,4,4,604.04,20,408.48,2416.16,483.23,1932.93,1633.92,299.01
105,346,8,16,4,6,268.46,5,164.09,1610.76,80.54,1530.22,984.54,545.68
106,147,19,7,5,6,190.73,20,98.31,1144.38,228.88,915.5,589.86,325.64
107,148,42,19,8,7,671.14,10,487.15,4697.98,469.8,4228.18,3410.05,818.13
108,352,1,12,4,1,697.15,10,359.74,697.15,69.72,627.43,359.74,267.69
109,199,29,15,2,3,764.55,5,609.01,2293.65,114.68,2178.97,1827.03,351.94
110,308,45,23,4,9,528.4,10,383.91,4755.6,475.56,4280.04,3455.19,824.85
111,128,49,14,5,6,899.35,15,614.43,5396.1,809.42,4586.68,3686.58,900.1
112,39,35,11,6,6,939.53,15,398.87,5637.18,845.58,4791.6,2393.22,2398.38
113,338,40,26,5,5,817.0,15,622.33,4085.0,612.75,3472.25,3111.65,360.6
114,360,14,10,7,3,653.81,10,468.14,1961.43,196.14,1765.29,1404.42,360.87
115,129,35,27,5,5,338.53,15,166.42,1692.65,253.9,1438.75,832.1,606.65
116,267,48,11,1,1,983.8,20,547.88,983.8,196.76,787.04,547.88,239.16
117,151,45,6,2,3,310.43,0,157.53,931.29,0.0,931.29,472.59,458.7
118,298,20,2,8,4,242.52,5,192.5,970.08,48.5,921.58,770.0,151.58
119,99,49,11,1,5,470.05,20,348.63,2350.25,470.05,1880.2,1743.15,137.05
120,263,13,19,6,9,104.0,15,80.3,936.0,140.4,795.6,722.7,72.9
121,252,38,6,3,4,979.57,0,700.89,3918.28,0.0,3918.28,2803.56,1114.72
122,144,49,14,6,3,609.01,5,354.77,1827.03,91.35,1735.68,1064.31,671.37
123,346,46,20,2,1,579.1,20,279.23,579.1,115.82,463.28,279.23,184.05
124,112,49,6,4,6,673.01,5,325.22,4038.06,201.9,3836.16,1951.32,1884.84
125,60,8,17,5,7,522.17,10,240.55,3655.19,365.52,3289.67,1683.85,1605.82
126,2,43,10,3,8,80.46,15,49.78,643.68,96.55,547.13,398.24,148.89
127,304,20,28,2,1,631.7,20,485.14,631.7,126.34,505.36,485.14,20.22
128,254,33,1,1,4,730.37,20,581.9,2921.48,584.3,2337.18,2327.6,9.58
129,140,26,3,5,5,445.91,0,229.61,2229.55,0.0,2229.55,1148.05,1081.5
130,37,39,8,6,2,769.43,0,522.39,1538.86,0.0,1538.86,1044.78,494.08
131,160,21,8,1,1,265.65,0,169.71,265.65,0.0,265.65,169.71,95.94
132,9,49,27,2,8,260.21,5,154.97,2081.68,104.08,1977.6,1239.76,737.84
133,233,42,20,2,6,203.35,15,135.49,1220.1,183.02,1037.08,812.94,224.14
134,99,43,22,6,5,403.4,5,221.28,2017.0,100.85,1916.15,1106.4,809.75
135,147,41,15,3,9,854.66,15,664.75,7691.94,1153.79,6538.15,5982.75,555.4
136,304,9,24,6,2,836.52,20,570.66,1673.04,334.61,1338.43,1141.32,197.11
137,208,24,7,4,8,413.68,5,290.27,3309.44,165.47,3143.97,2322.16,821.81
138,131,37,11,1,9,609.66,5,302.98,5486.94,274.35,5212.59,2726.82,2485.77
139,152,49,7,3,1,734.78,5,343.46,734.78,36.74,698.04,343.46,354.58
140,54,41,29,5,7,279.15,10,155.69,1954.05,195.4,1758.65,1089.83,668.82
141,120,17,4,7,8,209.73,15,148.21,1677.84,251.68,1426.16,1185.68,240.48
142,161,24,25,4,3,973.49,15,754.96,2920.47,438.07,2482.4,2264.88,217.52
143,116,21,12,3,4,636.68,5,363.5,2546.72,127.34,2419.38,1454.0,965.38
144,75,39,26,7,3,982.34,10,697.13,2947.02,294.7,2652.32,2091.39,560.93
145,113,41,6,7,7,370.87,5,218.13,2596.09,129.8,2466.29,1526.91,939.38
146,104,39,14,1,9,717.88,15,371.93,6460.92,969.14,5491.78,3347.37,2144.41
147,340,13,12,2,3,261.47,20,181.91,784.41,156.88,627.53,545.73,81.8
148,254,11,11,5,6,298.14,10,214.45,1788.84,178.88,1609.96,1286.7,323.26
149,227,46,19,6,8,536.31,10,258.04,4290.48,429.05,3861.43,2064.32,1797.11
150,112,19,21,1,6,353.64,5,184.62,2121.84,106.09,2015.75,1107.72,908.03
151,99,11,5,4,2,209.24,20,125.11,418.48,83.7,334.78,250.22,84.56
152,153,13,14,8,7,299.74,15,142.26,2098.18,314.73,1783.45,995.82,787.63
153,349,46,21,7,2,83.96,0,64.78,167.92,0.0,167.92,129.56,38.36
154,366,45,24,4,2,719.2,15,457.79,1438.4,215.76,1222.64,915.58,307.06
155,338,1,16,7,2,517.51,15,232.09,1035.02,155.25,879.77,464.18,415.59
156,194,40,25,2,1,139.53,20,66.08,139.53,27.91,111.62,66.08,45.54
157,310,44,13,8,1,213.11,10,166.6,213.11,21.31,191.8,166.6,25.2
158,163,19,25,2,7,147.41,15,102.49,1031.87,154.78,877.09,717.43,159.66
159,208,12,29,5,5,631.96,10,438.43,3159.8,315.98,2843.82,2192.15,651.67
160,169,8,22,6,3,139.5,20,59.85,418.5,83.7,334.8,179.55,155.25
161,161,8,22,5,1,766.57,20,581.15,766.57,153.31,613.26,581.15,32.11
162,68,45,25,2,6,69.49,5,40.13,416.94,20.85,396.09,240.78,155.31
163,289,12,20,2,1,286.91,0,190.48,286.91,0.0,286.91,190.48,96.43
164,277,48,22,4,9,896.13,20,702.45,8065.17,1613.03,6452.14,6322.05,130.09
165,304,33,4,2,2,732.6,20,322.35,1465.2,293.04,1172.16,644.7,527.46
166,135,45,11,8,1,119.32,10,70.75,119.32,11.93,107.39,70.75,36.64
167,195,26,17,8,7,830.07,20,348.5,5810.49,1162.1,4648.39,2439.5,2208.89
168,128,39,7,3,6,518.38,15,310.93,3110.28,466.54,2643.74,1865.58,778.16
169,33,28,14,7,6,854.44,5,427.99,5126.64,256.33,4870.31,2567.94,2302.37
170,176,5,26,1,5,620.7,5,474.48,3103.5,155.18,2948.32,2372.4,575.92
171,22,8,11,2,4,697.74,15,390.31,2790.96,418.64,2372.32,1561.24,811.08
172,238,25,28,5,4,993.83,20,649.52,3975.32,795.06,3180.26,2598.08,582.18
173,158,27,22,6,3,270.72,0,201.45,812.16,0.0,812.16,604.35,207.81
174,38,46,9,7,8,642.75,20,510.01,5142.0,1028.4,4113.6,4080.08,33.52
175,230,23,23,7,7,487.31,5,293.13,3411.17,170.56,3240.61,2051.91,1188.7
176,365,30,13,6,9,87.48,0,50.94,787.32,0.0,787.32,458.46,328.86
177,51,45,23,6,1,63.75,10,27.43,63.75,6.38,57.37,27.43,29.94
178,264,47,18,7,7,163.27,10,66.14,1142.89,114.29,1028.6,462.98,565.62
179,283,23,28,3,4,666.64,20,429.0,2666.56,533.31,2133.25,1716.0,417.25
180,27,49,11,5,7,588.8,20,250.94,4121.6,824.32,3297.28,1756.58,1540.7
181,226,47,15,3,1,575.76,0,317.91,575.76,0.0,575.76,317.91,257.85
182,277,20,25,2,5,80.26,0,32.22,401.3,0.0,401.3,161.1,240.2
183,286,18,26,1,3,495.84,20,320.36,1487.52,297.5,1190.02,961.08,228.94
184,97,18,25,6,5,928.39,5,529.34,4641.95,232.1,4409.85,2646.7,1763.15
185,284,2,22,8,4,427.71,10,192.82,1710.84,171.08,1539.76,771.28,768.48
186,317,4,29,5,2,643.68,0,333.78,1287.36,0.0,1287.36,667.56,619.8
187,304,30,19,6,4,790.83,5,496.53,3163.32,158.17,3005.15,1986.12,1019.03
188,147,33,1,3,3,794.73,20,526.66,2384.19,476.84,1907.35,1579.98,327.37
189,4,36,4,4,1,543.32,15,317.81,543.32,81.5,461.82,317.81,144.01
190,35,18,14,2,8,865.05,0,624.21,6920.4,0.0,6920.4,4993.68,1926.72
191,192,37,14,1,5,421.81,15,187.7,2109.05,316.36,1792.69,938.5,854.19
192,49,19,3,2,4,894.26,5,387.95,3577.04,178.85,3398.19,1551.8,1846.39
193,17,47,30,4,5,278.22,10,116.21,1391.1,139.11,1251.99,581.05,670.94
194,172,28,28,1,4,316.21,5,194.26,1264.84,63.24,1201.6,777.04,424.56
195,220,40,17,4,3,100.46,10,68.56,301.38,30.14,271.24,205.68,65.56
196,158,20,3,2,5,805.8,5,364.39,4029.0,201.45,3827.55,1821.95,2005.6
197,46,49,16,3,4,446.2,0,292.52,1784.8,0.0,1784.8,1170.08,614.72
198,6,33,14,7,1,267.66,0,158.13,267.66,0.0,267.66,158.13,109.53
199,99,12,30,2,3,270.2,15,214.79,810.6,121.59,689.01,644.37,44.64
200,233,15,20,2,8,906.33,5,622.64,7250.64,362.53,6888.11,4981.12,1906.99
201,37,41,29,2,7,842.22,5,558.38,5895.54,294.78,5600.76,3908.66,1692.1
202,280,39,13,5,2,575.85,15,361.74,1151.7,172.76,978.94,723.48,255.46
203,349,2,15,4,1,635.31,20,507.58,635.31,127.06,508.25,507.58,0.67
204,302,29,14,8,3,500.61,5,396.58,1501.83,75.09,1426.74,1189.74,237.0
205,181,41,24,4,5,422.08,5,259.68,2110.4,105.52,2004.88,1298.4,706.48
206,95,10,25,6,1,919.7,5,535.33,919.7,45.98,873.72,535.33,338.39
207,99,2,19,4,3,169.33,20,99.03,507.99,101.6,406.39,297.09,109.3
208,188,11,6,6,3,447.52,0,255.68,1342.56,0.0,1342.56,767.04,575.52
209,116,13,10,5,5,377.33,15,231.14,1886.65,283.0,1603.65,1155.7,447.95
210,191,10,27,3,3,523.24,20,266.56,1569.72,313.94,1255.78,799.68,456.1
211,253,14,15,6,9,484.75,10,373.6,4362.75,436.28,3926.47,3362.4,564.07
212,161,18,21,2,1,542.95,10,323.65,542.95,54.3,488.65,323.65,165.0
213,256,9,22,3,4,182.92,20,134.78,731.68,146.34,585.34,539.12,46.22
214,323,39,20,7,4,537.48,20,317.18,2149.92,429.98,1719.94,1268.72,451.22
215,128,28,26,5,1,280.3,0,192.65,280.3,0.0,280.3,192.65,87.65
216,18,3,6,4,2,225.11,10,120.38,450.22,45.02,405.2,240.76,164.44
217,281,20,23,6,1,111.59,15,72.52,111.59,16.74,94.85,72.52,22.33
218,223,6,25,8,6,774.52,5,464.21,4647.12,232.36,4414.76,2785.26,1629.5
219,54,27,10,2,3,456.07,5,249.4,1368.21,68.41,1299.8,748.2,551.6
220,58,2,7,1,7,645.31,0,485.67,4517.17,0.0,4517.17,3399.69,1117.48
221,323,29,22,7,5,741.21,0,329.9,3706.05,0.0,3706.05,1649.5,2056.55
222,360,38,17,1,9,695.35,10,413.57,6258.15,625.82,5632.33,3722.13,1910.2
223,174,3,18,3,7,496.98,15,237.43,3478.86,521.83,2957.03,1662.01,1295.02
224,280,16,17,4,4,418.5,15,311.54,1674.0,251.1,1422.9,1246.16,176.74
225,114,30,9,8,5,407.16,20,204.15,2035.8,407.16,1628.64,1020.75,607.89
226,288,40,10,1,5,658.05,0,429.95,3290.25,0.0,3290.25,2149.75,1140.5
227,342,2,10,3,5,520.05,5,242.46,2600.25,130.01,2470.24,1212.3,1257.94
228,151,17,25,5,9,856.68,5,481.42,7710.12,385.51,7324.61,4332.78,2991.83
229,127,41,7,3,3,880.97,10,669.31,2642.91,264.29,2378.62,2007.93,370.69
230,155,12,16,7,6,212.03,5,98.9,1272.18,63.61,1208.57,593.4,615.17
231,273,35,29,8,8,179.42,15,119.36,1435.36,215.3,1220.06,954.88,265.18
232,104,43,18,8,9,648.88,15,312.63,5839.92,875.99,4963.93,2813.67,2150.26
233,299,1,6,3,7,336.16,0,190.37,2353.12,0.0,2353.12,1332.59,1020.53
234,246,45,27,7,3,67.64,10,41.68,202.92,20.29,182.63,125.04,57.59
235,176,15,20,3,1,894.21,5,564.18,894.21,44.71,849.5,564.18,285.32
236,39,26,1,8,4,265.56,0,170.23,1062.24,0.0,1062.24,680.92,381.32
237,170,37,1,8,6,932.82,20,611.98,5596.92,1119.38,4477.54,3671.88,805.66
238,247,21,12,2,3,731.56,20,372.15,2194.68,438.94,1755.74,1116.45,639.29
239,26,49,21,3,1,774.52,5,434.15,774.52,38.73,735.79,434.15,301.64
240,355,31,28,6,6,241.39,5,100.16,1448.34,72.42,1375.92,600.96,774.96
241,306,25,2,3,1,272.48,5,192.78,272.48,13.62,258.86,192.78,66.08
242,13,23,4,8,9,545.2,15,400.63,4906.8,736.02,4170.78,3605.67,565.11
243,316,24,17,2,1,213.49,5,102.41,213.49,10.67,202.82,102.41,100.41
244,313,38,4,2,6,340.16,20,163.47,2040.96,408.19,1632.77,980.82,651.95
245,36,28,11,5,1,355.39,5,148.13,355.39,17.77,337.62,148.13,189.49
246,173,21,22,7,7,201.65,10,158.93,1411.55,141.16,1270.39,1112.51,157.88
247,20,43,26,4,3,244.92,20,177.05,734.76,146.95,587.81,531.15,56.66
248,321,18,4,1,6,799.12,10,434.95,4794.72,479.47,4315.25,2609.7,1705.55
249,264,36,1,1,7,208.84,20,123.79,1461.88,292.38,1169.5,866.53,302.97
250,142,35,7,3,1,77.03,0,39.81,77.03,0.0,77.03,39.81,37.22
251,143,45,30,5,1,647.89,20,413.94,647.89,129.58,518.31,413.94,104.37
252,92,9,18,3,5,977.18,20,671.25,4885.9,977.18,3908.72,3356.25,552.47
253,354,38,9,1,6,364.65,10,211.11,2187.9,218.79,1969.11,1266.66,702.45
254,322,30,29,7,9,162.72,10,121.95,1464.48,146.45,1318.03,1097.55,220.48
255,288,44,3,8,1,591.87,20,359.15,591.87,118.37,473.5,359.15,114.35
256,215,34,8,7,4,911.04,20,416.98,3644.16,728.83,2915.33,1667.92,1247.41
257,342,32,29,7,8,794.86,15,515.8,6358.88,953.83,5405.05,4126.4,1278.65
258,51,3,24,2,9,641.39,0,375.14,5772.51,0.0,5772.51,3376.26,2396.25
259,153,3,19,8,3,349.3,0,270.45,1047.9,0.0,1047.9,811.35,236.55
260,186,28,4,4,2,564.79,5,314.45,1129.58,56.48,1073.1,628.9,444.2
261,63,44,18,8,4,136.68,20,76.7,546.72,109.34,437.38,306.8,130.58
262,190,15,20,5,2,695.0,20,458.92,1390.0,278.0,1112.0,917.84,194.16
263,125,41,27,2,1,738.84,20,451.28,738.84,147.77,591.07,451.28,139.79
264,150,23,11,4,3,966.78,20,531.52,2900.34,580.07,2320.27,1594.56,725.71
265,314,40,27,5,7,297.38,0,236.69,2081.66,0.0,2081.66,1656.83,424.83
266,58,11,14,5,1,67.53,10,35.17,67.53,6.75,60.78,35.17,25.61
267,342,48,25,1,2,568.33,15,290.42,1136.66,170.5,966.16,580.84,385.32
268,305,32,18,2,1,721.45,10,538.04,721.45,72.14,649.31,538.04,111.27
269,180,36,28,5,8,800.89,10,321.44,6407.12,640.71,5766.41,2571.52,3194.89
270,170,33,28,6,5,234.05,0,112.46,1170.25,0.0,1170.25,562.3,607.95
271,326,24,29,7,8,298.67,15,190.01,2389.36,358.4,2030.96,1520.08,510.88
272,271,39,16,5,3,536.96,20,249.68,1610.88,322.18,1288.7,749.04,539.66
273,54,34,3,4,7,364.07,0,289.19,2548.49,0.0,2548.49,2024.33,524.16
274,101,28,15,1,8,867.49,0,508.07,6939.92,0.0,6939.92,4064.56,2875.36
275,264,37,27,3,6,500.07,15,319.52,3000.42,450.06,2550.36,1917.12,633.24
276,53,7,27,7,7,809.6,5,375.78,5667.2,283.36,5383.84,2630.46,2753.38
277,60,4,4,1,2,601.59,0,310.27,1203.18,0.0,1203.18,620.54,582.64
278,108,37,5,3,8,784.44,10,506.63,6275.52,627.55,5647.97,4053.04,1594.93
279,5,1,17,2,5,366.04,10,226.88,1830.2,183.02,1647.18,1134.4,512.78
280,103,1,7,2,7,839.85,20,599.44,5878.95,1175.79,4703.16,4196.08,507.08
281,196,47,16,5,1,310.84,0,157.81,310.84,0.0,310.84,157.81,153.03
282,262,20,14,6,5,568.79,20,376.21,2843.95,568.79,2275.16,1881.05,394.11
283,365,19,26,2,1,253.31,0,130.81,253.31,0.0,253.31,130.81,122.5
284,350,29,16,8,8,501.75,15,318.46,4014.0,602.1,3411.9,2547.68,864.22
285,47,10,7,5,4,352.27,0,226.16,1409.08,0.0,1409.08,904.64,504.44
286,355,18,9,7,4,303.37,5,136.13,1213.48,60.67,1152.81,544.52,608.29
287,311,28,4,1,2,968.64,10,600.03,1937.28,193.73,1743.55,1200.06,543.49
288,308,35,30,2,5,202.07,15,81.79,1010.35,151.55,858.8,408.95,449.85
289,144,43,30,8,1,797.96,10,479.16,797.96,79.8,718.16,479.16,239.0
290,269,47,22,1,9,984.96,20,668.8,8864.64,1772.93,7091.71,6019.2,1072.51
291,124,31,11,1,5,68.91,15,29.57,344.55,51.68,292.87,147.85,145.02
292,106,27,2,6,6,714.08,5,553.76,4284.48,214.22,4070.26,3322.56,747.7
293,158,11,12,2,2,290.27,10,169.37,580.54,58.05,522.49,338.74,183.75
294,147,49,12,1,1,88.46,0,68.59,88.46,0.0,88.46,68.59,19.87
295,145,49,30,6,4,432.75,0,191.69,1731.0,0.0,1731.0,766.76,964.24
296,120,38,4,6,7,938.46,0,731.96,6569.22,0.0,6569.22,5123.72,1445.5
297,319,5,18,2,6,61.18,15,27.14,367.08,55.06,312.02,162.84,149.18
298,275,8,26,6,1,608.49,5,355.72,608.49,30.42,578.07,355.72,222.35
299,92,34,21,2,1,526.33,5,408.01,526.33,26.32,500.01,408.01,92.0
300,58,48,7,8,8,879.71,5,433.77,7037.68,351.88,6685.8,3470.16,3215.64
301,346,12,29,2,4,129.8,10,53.73,519.2,51.92,467.28,214.92,252.36
302,229,38,1,3,5,697.45,15,500.24,3487.25,523.09,2964.16,2501.2,462.96
303,117,1,26,1,7,696.1,0,444.36,4872.7,0.0,4872.7,3110.52,1762.18
304,318,31,26,8,8,685.63,10,415.2,5485.04,548.5,4936.54,3321.6,1614.94
305,279,4,23,4,7,945.22,5,391.07,6616.54,330.83,6285.71,2737.49,3548.22
306,127,49,26,2,2,831.93,0,550.15,1663.86,0.0,1663.86,1100.3,563.56
307,129,45,13,1,4,89.87,15,42.12,359.48,53.92,305.56,168.48,137.08
308,58,50,6,7,1,497.53,20,384.33,497.53,99.51,398.02,384.33,13.69
309,122,5,6,6,9,428.06,5,288.64,3852.54,192.63,3659.91,2597.76,1062.15
310,1,30,12,5,3,344.64,5,235.32,1033.92,51.7,982.22,705.96,276.26
311,239,24,8,2,3,478.77,5,236.05,1436.31,71.82,1364.49,708.15,656.34
312,290,3,24,6,9,414.98,5,312.19,3734.82,186.74,3548.08,2809.71,738.37
313,96,11,22,6,3,460.72,0,283.39,1382.16,0.0,1382.16,850.17,531.99
