id_venda,data,ano,mes,trimestre,id_cliente,nome_cliente,segmento_cliente,cidade,id_artigo,nome_artigo,categoria,subcategoria,id_vendedor,nome_vendedor,equipa,quantidade,preco_unitario,desconto_perc,total_bruto,total_desconto,total_liquido,custo_total,margem
78,2024-02-22,2024,2,1,28,Cliente 28,Parceiro,Lisboa,28,Artigo 28,Serviço,Suporte,8,Vendedor 8,Online,1,898.97,15,898.97,134.85,764.12,690.15,73.97
79,2024-06-20,2024,6,2,28,Cliente 28,Parceiro,Lisboa,25,Artigo 25,Software,Licença,3,Vendedor 3,Online,7,326.94,5,2288.58,114.43,2174.15,1410.08,764.07
80,2024-08-05,2024,8,3,4,Cliente 4,Parceiro,Porto,22,Artigo 22,Hardware,Implementação,6,Vendedor 6,Sul,4,584.58,5,2338.32,116.92,2221.4,1595.28,626.12
81,2024-06-08,2024,6,2,22,Cliente 22,Retail,Lisboa,28,Artigo 28,Serviço,Suporte,3,Vendedor 3,Online,6,144.74,5,868.44,43.42,825.02,471.6,353.42
82,2024-07-16,2024,7,3,12,Cliente 12,Parceiro,Porto,20,Artigo 20,Software,Licença,3,Vendedor 3,Online,8,925.86,0,7406.88,0.0,7406.88,5189.68,2217.2
83,2024-09-03,2024,9,3,45,Cliente 45,Retail,Coimbra,15,Artigo 15,Software,Implementação,2,Vendedor 2,Norte,6,183.73,5,1102.38,55.12,1047.26,714.54,332.72
84,2024-11-19,2024,11,4,3,Cliente 3,Parceiro,Lisboa,21,Artigo 21,Hardware,Suporte,6,Vendedor 6,Sul,2,263.65,20,527.3,105.46,421.84,307.9,113.94
85,2024-07-21,2024,7,3,22,Cliente 22,Retail,Lisboa,13,Artigo 13,Software,Equipamento,2,Vendedor 2,Norte,1,580.23,0,580.23,0.0,580.23,277.06,303.17
86,2024-07-02,2024,7,3,44,Cliente 44,Retail,Braga,22,Artigo 22,Hardware,Implementação,8,Vendedor 8,Online,8,775.89,0,6207.12,0.0,6207.12,3236.48,2970.64
87,2024-05-02,2024,5,2,2,Cliente 2,Retail,Porto,11,Artigo 11,Software,Licença,6,Vendedor 6,Sul,8,638.38,0,5107.04,0.0,5107.04,3311.28,1795.76
88,2024-09-11,2024,9,3,24,Cliente 24,B2B,Lisboa,19,Artigo 19,Hardware,Suporte,5,Vendedor 5,Sul,9,270.53,0,2434.77,0.0,2434.77,1388.88,1045.89
89,2024-10-20,2024,10,4,34,Cliente 34,B2B,Lisboa,8,Artigo 8,Software,Suporte,2,Vendedor 2,Norte,6,50.9,10,305.4,30.54,274.86,230.82,44.04
90,2024-10-06,2024,10,4,27,Cliente 27,Retail,Coimbra,20,Artigo 20,Software,Licença,2,Vendedor 2,Norte,1,769.29,20,769.29,153.86,615.43,379.98,235.45
91,2024-11-20,2024,11,4,41,Cliente 41,Retail,Braga,8,Artigo 8,Software,Suporte,2,Vendedor 2,Norte,9,985.95,15,8873.55,1331.03,7542.52,3808.8,3733.72
92,2024-04-07,2024,4,2,1,Cliente 1,Parceiro,Lisboa,10,Artigo 10,Hardware,Equipamento,7,Vendedor 7,Norte,3,819.42,5,2458.26,122.91,2335.35,1562.82,772.53
93,2024-07-16,2024,7,3,8,Cliente 8,B2B,Braga,26,Artigo 26,Serviço,Implementação,4,Vendedor 4,Online,6,487.2,0,2923.2,0.0,2923.2,2205.3,717.9
94,2024-08-27,2024,8,3,23,Cliente 23,B2B,Lisboa,16,Artigo 16,Software,Suporte,2,Vendedor 2,Norte,9,908.58,15,8177.22,1226.58,6950.64,4463.91,2486.73
95,2024-05-23,2024,5,2,38,Cliente 38,Parceiro,Lisboa,19,Artigo 19,Hardware,Suporte,8,Vendedor 8,Online,3,439.36,10,1318.08,131.81,1186.27,868.74,317.53
96,2024-04-06,2024,4,2,6,Cliente 6,Retail,Coimbra,26,Artigo 26,Serviço,Implementação,1,Vendedor 1,Online,5,548.69,15,2743.45,411.52,2331.93,1351.35,980.58
97,2024-07-19,2024,7,3,22,Cliente 22,Retail,Lisboa,23,Artigo 23,Software,Suporte,1,Vendedor 1,Online,5,503.27,0,2516.35,0.0,2516.35,1568.65,947.7
98,2024-05-03,2024,5,2,25,Cliente 25,Retail,Lisboa,11,Artigo 11,Software,Licença,6,Vendedor 6,Sul,7,475.24,20,3326.68,665.34,2661.34,2377.62,283.72
99,2024-07-05,2024,7,3,18,Cliente 18,B2B,Coimbra,13,Artigo 13,Software,Equipamento,5,Vendedor 5,Sul,4,786.43,15,3145.72,471.86,2673.86,2349.28,324.58
100,2024-11-21,2024,11,4,17,Cliente 17,B2B,Porto,28,Artigo 28,Serviço,Suporte,4,Vendedor 4,Online,4,550.43,0,2201.72,0.0,2201.72,973.28,1228.44
101,2024-12-14,2024,12,4,12,Cliente 12,Parceiro,Porto,9,Artigo 9,Software,Implementação,7,Vendedor 7,Norte,7,350.88,0,2456.16,0.0,2456.16,1332.59,1123.57
102,2024-09-15,2024,9,3,6,Cliente 6,Retail,Coimbra,20,Artigo 20,Software,Licença,6,Vendedor 6,Sul,9,295.25,5,2657.25,132.86,2524.39,1742.76,781.63
103,2024-05-27,2024,5,2,26,Cliente 26,Retail,Lisboa,24,Artigo 24,Hardware,Licença,1,Vendedor 1,Online,4,85.86,5,343.44,17.17,326.27,142.16,184.11
104,2024-09-08,2024,9,3,27,Cliente 27,Retail,Coimbra,19,Artigo 19,Hardware,Suporte,4,Vendedor 4,Online,4,604.04,20,2416.16,483.23,1932.93,1633.92,299.01
105,2024-12-11,2024,12,4,8,Cliente 8,B2B,Braga,16,Artigo 16,Software,Suporte,4,Vendedor 4,Online,6,268.46,5,1610.76,80.54,1530.22,984.54,545.68
106,2024-05-26,2024,5,2,19,Cliente 19,B2B,Lisboa,7,Artigo 7,Software,Suporte,5,Vendedor 5,Sul,6,190.73,20,1144.38,228.88,915.5,589.86,325.64
107,2024-05-27,2024,5,2,42,Cliente 42,Parceiro,Coimbra,19,Artigo 19,Hardware,Suporte,8,Vendedor 8,Online,7,671.14,10,4697.98,469.8,4228.18,3410.05,818.13
108,2024-12-17,2024,12,4,1,Cliente 1,Parceiro,Lisboa,12,Artigo 12,Software,Suporte,4,Vendedor 4,Online,1,697.15,10,697.15,69.72,627.43,359.74,267.69
109,2024-07-17,2024,7,3,29,Cliente 29,Parceiro,Porto,15,Artigo 15,Software,Implementação,2,Vendedor 2,Norte,3,764.55,5,2293.65,114.68,2178.97,1827.03,351.94
110,2024-11-03,2024,11,4,45,Cliente 45,Retail,Coimbra,23,Artigo 23,Software,Suporte,4,Vendedor 4,Online,9,528.4,10,4755.6,475.56,4280.04,3455.19,824.85
111,2024-05-07,2024,5,2,49,Cliente 49,B2B,Porto,14,Artigo 14,Hardware,Equipamento,5,Vendedor 5,Sul,6,899.35,15,5396.1,809.42,4586.68,3686.58,900.1
112,2024-02-08,2024,2,1,35,Cliente 35,Parceiro,Lisboa,11,Artigo 11,Software,Licença,6,Vendedor 6,Sul,6,939.53,15,5637.18,845.58,4791.6,2393.22,2398.38
113,2024-12-03,2024,12,4,40,Cliente 40,Parceiro,Coimbra,26,Artigo 26,Serviço,Implementação,5,Vendedor 5,Sul,5,817.0,15,4085.0,612.75,3472.25,3111.65,360.6
114,2024-12-25,2024,12,4,14,Cliente 14,Parceiro,Braga,10,Artigo 10,Hardware,Equipamento,7,Vendedor 7,Norte,3,653.81,10,1961.43,196.14,1765.29,1404.42,360.87
115,2024-05-08,2024,5,2,35,Cliente 35,Parceiro,Lisboa,27,Artigo 27,Hardware,Suporte,5,Vendedor 5,Sul,5,338.53,15,1692.65,253.9,1438.75,832.1,606.65
116,2024-09-23,2024,9,3,48,Cliente 48,Retail,Coimbra,11,Artigo 11,Software,Licença,1,Vendedor 1,Online,1,983.8,20,983.8,196.76,787.04,547.88,239.16
117,2024-05-30,2024,5,2,45,Cliente 45,Retail,Coimbra,6,Artigo 6,Software,Equipamento,2,Vendedor 2,Norte,3,310.43,0,931.29,0.0,931.29,472.59,458.7
118,2024-10-24,2024,10,4,20,Cliente 20,B2B,Coimbra,2,Artigo 2,Serviço,Equipamento,8,Vendedor 8,Online,4,242.52,5,970.08,48.5,921.58,770.0,151.58
119,2024-04-08,2024,4,2,49,Cliente 49,B2B,Porto,11,Artigo 11,Software,Licença,1,Vendedor 1,Online,5,470.05,20,2350.25,470.05,1880.2,1743.15,137.05
120,2024-09-19,2024,9,3,13,Cliente 13,Retail,Coimbra,19,Artigo 19,Hardware,Suporte,6,Vendedor 6,Sul,9,104.0,15,936.0,140.4,795.6,722.7,72.9
121,2024-09-08,2024,9,3,38,Cliente 38,Parceiro,Lisboa,6,Artigo 6,Software,Equipamento,3,Vendedor 3,Online,4,979.57,0,3918.28,0.0,3918.28,2803.56,1114.72
122,2024-05-23,2024,5,2,49,Cliente 49,B2B,Porto,14,Artigo 14,Hardware,Equipamento,6,Vendedor 6,Sul,3,609.01,5,1827.03,91.35,1735.68,1064.31,671.37
123,2024-12-11,2024,12,4,46,Cliente 46,Parceiro,Porto,20,Artigo 20,Software,Licença,2,Vendedor 2,Norte,1,579.1,20,579.1,115.82,463.28,279.23,184.05
124,2024-04-21,2024,4,2,49,Cliente 49,B2B,Porto,6,Artigo 6,Software,Equipamento,4,Vendedor 4,Online,6,673.01,5,4038.06,201.9,3836.16,1951.32,1884.84
125,2024-02-29,2024,2,1,8,Cliente 8,B2B,Braga,17,Artigo 17,Hardware,Suporte,5,Vendedor 5,Sul,7,522.17,10,3655.19,365.52,3289.67,1683.85,1605.82
126,2024-01-02,2024,1,1,43,Cliente 43,Parceiro,Lisboa,10,Artigo 10,Hardware,Equipamento,3,Vendedor 3,Online,8,80.46,15,643.68,96.55,547.13,398.24,148.89
127,2024-10-30,2024,10,4,20,Cliente 20,B2B,Coimbra,28,Artigo 28,Serviço,Suporte,2,Vendedor 2,Norte,1,631.7,20,631.7,126.34,505.36,485.14,20.22
128,2024-09-10,2024,9,3,33,Cliente 33,B2B,Coimbra,1,Artigo 1,Software,Licença,1,Vendedor 1,Online,4,730.37,20,2921.48,584.3,2337.18,2327.6,9.58
129,2024-05-19,2024,5,2,26,Cliente 26,Retail,Lisboa,3,Artigo 3,Hardware,Equipamento,5,Vendedor 5,Sul,5,445.91,0,2229.55,0.0,2229.55,1148.05,1081.5
130,2024-02-06,2024,2,1,39,Cliente 39,Retail,Braga,8,Artigo 8,Software,Suporte,6,Vendedor 6,Sul,2,769.43,0,1538.86,0.0,1538.86,1044.78,494.08
131,2024-06-08,2024,6,2,21,Cliente 21,Retail,Coimbra,8,Artigo 8,Software,Suporte,1,Vendedor 1,Online,1,265.65,0,265.65,0.0,265.65,169.71,95.94
132,2024-01-09,2024,1,1,49,Cliente 49,B2B,Porto,27,Artigo 27,Hardware,Suporte,2,Vendedor 2,Norte,8,260.21,5,2081.68,104.08,1977.6,1239.76,737.84
133,2024-08-20,2024,8,3,42,Cliente 42,Parceiro,Coimbra,20,Artigo 20,Software,Licença,2,Vendedor 2,Norte,6,203.35,15,1220.1,183.02,1037.08,812.94,224.14
134,2024-04-08,2024,4,2,43,Cliente 43,Parceiro,Lisboa,22,Artigo 22,Hardware,Implementação,6,Vendedor 6,Sul,5,403.4,5,2017.0,100.85,1916.15,1106.4,809.75
135,2024-05-26,2024,5,2,41,Cliente 41,Retail,Braga,15,Artigo 15,Software,Implementação,3,Vendedor 3,Online,9,854.66,15,7691.94,1153.79,6538.15,5982.75,555.4
136,2024-10-30,2024,10,4,9,Cliente 9,Parceiro,Coimbra,24,Artigo 24,Hardware,Licença,6,Vendedor 6,Sul,2,836.52,20,1673.04,334.61,1338.43,1141.32,197.11
137,2024-07-26,2024,7,3,24,Cliente 24,B2B,Lisboa,7,Artigo 7,Software,Suporte,4,Vendedor 4,Online,8,413.68,5,3309.44,165.47,3143.97,2322.16,821.81
138,2024-05-10,2024,5,2,37,Cliente 37,Parceiro,Coimbra,11,Artigo 11,Software,Licença,1,Vendedor 1,Online,9,609.66,5,5486.94,274.35,5212.59,2726.82,2485.77
139,2024-05-31,2024,5,2,49,Cliente 49,B2B,Porto,7,Artigo 7,Software,Suporte,3,Vendedor 3,Online,1,734.78,5,734.78,36.74,698.04,343.46,354.58
140,2024-02-23,2024,2,1,41,Cliente 41,Retail,Braga,29,Artigo 29,Software,Implementação,5,Vendedor 5,Sul,7,279.15,10,1954.05,195.4,1758.65,1089.83,668.82
141,2024-04-29,2024,4,2,17,Cliente 17,B2B,Porto,4,Artigo 4,Software,Implementação,7,Vendedor 7,Norte,8,209.73,15,1677.84,251.68,1426.16,1185.68,240.48
142,2024-06-09,2024,6,2,24,Cliente 24,B2B,Lisboa,25,Artigo 25,Software,Licença,4,Vendedor 4,Online,3,973.49,15,2920.47,438.07,2482.4,2264.88,217.52
